time,pm10 standard,pm25 standard,pm100 standard,pm10 env,pm25 env,pm100 env,03um,05um,10um,25um,50um,100um,temp,gas,humidity,pressure,altitude
1772061379.4879923,2,2,2,2,2,2,591,119,15,0,0,0,17.829609375,208025,71.69037443914483,1008.4788428296492,39.799087230248894
1772061381.5011709,2,2,2,2,2,2,591,119,15,0,0,0,17.821796875,208777,71.68914696293508,1008.4913524942588,39.69453744805245
1772061383.514132,2,2,2,2,2,2,567,113,14,0,0,0,17.81359375,210043,71.67383307484894,1008.5050285057134,39.580241099327594
1772061385.527086,2,2,2,2,2,2,567,113,14,0,0,0,17.8044140625,209029,71.67940364967414,1008.5153039290315,39.49436576363395
1772061387.540112,2,2,2,2,2,2,567,113,14,0,0,0,17.7962109375,210170,71.67811528250394,1008.5199542769647,39.45550139914417
1772061389.5530849,1,2,2,1,2,2,492,96,11,0,0,0,17.78859375,210809,71.6839314730344,1008.5255612646996,39.40864229938206
1772061391.5660183,1,2,2,1,2,2,492,96,11,0,0,0,17.7841015625,210043,71.69725141346275,1008.527248039497,39.39454551144043
1772061393.5777524,1,2,2,1,2,2,492,96,11,0,0,0,17.78,210170,71.71764688176705,1008.527767919269,39.39020075337336
1772061395.589502,1,1,1,1,1,1,432,80,4,0,0,0,17.78,210809,71.73868853398805,1008.5006955055211,39.61645372207854
1772061397.6012309,1,1,1,1,1,1,432,80,4,0,0,0,17.7815625,210297,71.75997774427543,1008.5032476194222,39.595124666024454
1772061399.6141875,1,1,1,1,1,1,432,80,4,0,0,0,17.7829296875,210553,71.7812383673731,1008.5072855558741,39.561378074602494
1772061401.627186,1,1,1,1,1,1,402,72,4,0,0,0,17.783125,210553,71.79530069537302,1008.5202384251452,39.45312669154528
1772061403.640209,1,1,1,1,1,1,402,72,4,0,0,0,17.7825390625,211840,71.8162576720605,1008.5210862030764,39.446041572163125
1772061405.6531663,1,1,1,1,1,1,402,72,4,0,0,0,17.783125,212229,71.85143612024225,1008.5274577723809,39.39279272396798
1772061407.6661208,0,1,1,0,1,1,363,61,3,0,0,0,17.7841015625,210937,71.87264422959731,1008.538077079404,39.30404504128821
1772061409.6790454,0,1,1,0,1,1,363,61,3,0,0,0,17.78625,212229,71.91509740918318,1008.5451960408833,39.24455087332982
1772061411.6923287,0,1,1,0,1,1,363,61,3,0,0,0,17.7887890625,212229,71.95762042006899,1008.558367647714,39.13447478867417
1772061413.7053165,0,0,0,0,0,0,351,59,2,0,0,0,17.7911328125,211840,72.00012103271914,1008.5658057180997,39.072314803004815
1772061415.7201536,0,0,0,0,0,0,351,59,2,0,0,0,17.7895703125,213143,72.03499051852384,1008.5686680476015,39.048394402154685
1772061417.731888,0,0,0,0,0,0,351,59,2,0,0,0,17.79171875,213800,72.08450054838843,1008.5685676721121,39.04923323614708
1772061419.7436368,0,0,0,0,0,0,162,38,2,0,0,0,17.79640625,212750,72.12739563636467,1008.5672000400881,39.06066248956459
1772061421.7566679,0,0,0,0,0,0,162,38,2,0,0,0,17.79875,213143,72.12776537571975,1008.5692235041923,39.04375247463613
1772061423.769587,0,0,0,0,0,0,162,38,2,0,0,0,17.799921875,213537,72.1349770596682,1008.574747448273,38.99758921745202
1772061425.78135,0,0,0,0,0,0,135,29,2,0,0,0,17.801875,213669,72.12825837771973,1008.5725230720357,39.01617816672729
1772061427.7930567,0,0,0,0,0,0,135,29,2,0,0,0,17.808125,213669,72.14329846090996,1008.5592681752813,39.126949056237656
1772061429.8048,0,0,0,0,0,0,135,29,2,0,0,0,17.82296875,213143,72.15969621583695,1008.5546347099065,39.16567110561235
1772061431.8177123,0,0,0,0,0,0,78,24,1,0,0,0,17.843671875,213274,72.2402868231617,1008.5631803223156,39.094255204290334
1772061433.8299668,0,0,0,0,0,0,78,24,1,0,0,0,17.86125,212490,72.32744923199861,1008.5630103942099,39.09567529303786
1772061435.842929,0,0,0,0,0,0,78,24,1,0,0,0,17.880390625,214197,72.42896936151953,1008.5653910606721,39.07578008710863
1772061437.8559318,0,0,0,0,0,0,45,13,0,0,0,0,17.9024609375,212620,72.52396430501588,1008.532841318588,39.34780125196054
1772061439.8688817,0,0,0,0,0,0,45,13,0,0,0,0,17.9239453125,211711,72.61186825435254,1008.5155774069643,39.49208022179777
1772061441.881905,0,0,0,0,0,0,45,13,0,0,0,0,17.9462109375,212620,72.67175398927145,1008.5176390362268,39.474850548253585
1772061443.8949168,0,0,0,0,0,0,51,15,0,0,0,0,17.9661328125,211970,72.72423954892072,1008.5303140008791,39.368922574079775
1772061445.90806,0,0,0,0,0,0,51,15,0,0,0,0,17.985078125,213800,72.79068164052029,1008.5251446187585,39.41212431396255
1772061447.9210694,0,0,0,0,0,0,51,15,0,0,0,0,17.99796875,212229,72.84208069863763,1008.5371678814557,39.31164336162524
1772061449.9340243,0,0,0,0,0,0,75,21,1,0,0,0,18.008125,212881,72.83664718339787,1008.5519475571648,39.18812781101205
1772061451.9459708,0,0,0,0,0,0,75,21,1,0,0,0,18.01515625,214728,72.7743215411884,1008.5544021631076,39.167614512002125
1772061453.958156,0,0,0,0,0,0,75,21,1,0,0,0,18.016328125,213669,72.70403447512125,1008.5527048421897,39.181799127267354
1772061455.9685078,0,0,1,0,0,1,87,25,2,1,1,0,18.0161328125,214595,72.6546852165058,1008.5289145366463,39.38061820749432
1772061457.9803252,0,0,1,0,0,1,87,25,2,1,1,0,18.014765625,213405,72.6333349360155,1008.5320984472922,39.35400957814083
1772061459.992883,0,0,1,0,0,1,87,25,2,1,1,0,18.0141796875,213932,72.66141956008471,1008.5437800247545,39.256384693300575
1772061462.0058606,0,0,1,0,0,1,129,35,2,1,1,0,18.0122265625,214329,72.70338227709406,1008.5496180159925,39.207595973114415
1772061464.0184305,0,0,1,0,0,1,129,35,2,1,1,0,18.006171875,214462,72.7447003470225,1008.5686181942433,39.04881102469025
1772061466.0313566,0,0,1,0,0,1,129,35,2,1,1,0,18.0003125,214462,72.75786362009052,1008.5680769046019,39.05333456177601
1772061468.0425434,0,0,1,0,0,1,144,40,2,1,1,0,17.9878125,214861,72.73473322545391,1008.5422477274332,39.26919030458043
